staff_id,staff_name,section_id,seniority_year
stf_0165,洪建宏,sec_vid,4
stf_0166,楊心怡,sec_fin,3
stf_0167,周彥廷,sec_life,12
stf_0168,楊宗翰,sec_env,9
stf_0169,黃郁婷,sec_pol,11
stf_0170,廖秉修,sec_env,16
stf_0171,劉冠宇,sec_edu,2
stf_0172,楊美玲,sec_soc,13
stf_0173,吳彥廷,sec_deep,8
stf_0174,劉建宏,sec_deep,5
stf_0175,劉心怡,sec_ent,18
stf_0176,周佩君,sec_shop,6
stf_0177,邱詩涵,sec_pol,8
stf_0178,賴怡君,sec_soc,18
stf_0179,黃映彤,sec_vid,12
stf_0180,邱家豪,sec_env,2
stf_0181,郭雅婷,sec_fin,12
stf_0182,郭心怡,sec_env,3
stf_0183,蔡冠宇,sec_deep,2
stf_0184,劉承翰,sec_opin,15
stf_0185,黃家豪,sec_life,10
stf_0186,楊曉雯,sec_vid,4
stf_0187,賴志豪,sec_fin,13
stf_0188,楊美玲,sec_intl,10
stf_0189,廖彥廷,sec_edu,5
stf_0190,周志豪,sec_short,18
stf_0191,周淑芬,sec_edu,17
stf_0192,陳曉雯,sec_deep,16
stf_0193,張美玲,sec_opin,4
stf_0194,林心怡,sec_fin,12
stf_0195,王冠宇,sec_edu,6
stf_0196,廖建宏,sec_event,16
stf_0197,謝心怡,sec_tech,9
stf_0198,郭淑芬,sec_tech,15
stf_0199,王建宏,sec_fin,7
stf_0200,張秉修,sec_intl,10
stf_0201,洪曉雯,sec_pol,13
stf_0202,邱淑芬,sec_life,8
stf_0203,蔡映彤,sec_pol,16
stf_0204,張曉雯,sec_ent,6
stf_0205,許冠宇,sec_sport,13
stf_0206,楊淑芬,sec_edu,9
stf_0207,許美玲,sec_brand,12
stf_0208,林彥廷,sec_opin,6
stf_0209,鄭冠宇,sec_env,10
stf_0210,劉承翰,sec_env,17
stf_0211,李映彤,sec_soc,6
stf_0212,洪詩涵,sec_life,1
stf_0213,黃家豪,sec_tech,4
stf_0214,張冠宇,sec_vid,14
stf_0215,許彥廷,sec_vid,15
stf_0216,謝建宏,sec_pod,1
stf_0217,蔡淑芬,sec_shop,12
stf_0218,鄭映彤,sec_tech,7
stf_0219,鄭映彤,sec_sport,15
stf_0220,黃佩君,sec_soc,9
stf_0221,曾家豪,sec_sport,5
stf_0222,林承翰,sec_sport,6
stf_0223,王俊傑,sec_intl,3
stf_0224,陳美玲,sec_vid,12
stf_0225,王美玲,sec_sport,6
stf_0226,許志豪,sec_pod,15
stf_0227,黃秉修,sec_pod,15
stf_0228,李雅婷,sec_short,7
stf_0229,蔡宗翰,sec_pol,7
stf_0230,曾建宏,sec_fin,17
stf_0231,楊冠宇,sec_intl,10
stf_0232,賴冠宇,sec_shop,17
stf_0233,許冠宇,sec_sport,6
stf_0234,楊映彤,sec_vid,17
stf_0235,鄭宗翰,sec_pod,2
stf_0236,林秉修,sec_ent,8
stf_0237,周映彤,sec_brand,17
stf_0238,黃映彤,sec_pod,16
stf_0239,張家豪,sec_life,10
stf_0240,郭建宏,sec_soc,13
stf_0241,林彥廷,sec_event,8
stf_0242,賴宗翰,sec_event,13
stf_0243,邱秉修,sec_vid,1
stf_0244,廖美玲,sec_short,18
stf_0245,謝映彤,sec_deep,7
stf_0246,曾美玲,sec_life,4
stf_0247,李佩君,sec_intl,12
stf_0248,黃詩涵,sec_edu,16
stf_0249,黃淑芬,sec_brand,14
stf_0250,李秉修,sec_opin,18
stf_0251,劉詩涵,sec_soc,18
stf_0252,曾建宏,sec_brand,12
stf_0253,賴心怡,sec_life,7
stf_0254,張美玲,sec_event,8
stf_0255,郭曉雯,sec_edu,13
stf_0256,林怡君,sec_pol,18
stf_0257,吳志豪,sec_soc,3
stf_0258,許心怡,sec_brand,4
stf_0259,楊曉雯,sec_event,7
stf_0260,王建宏,sec_brand,14
stf_0261,周映彤,sec_pod,14
stf_0262,周心怡,sec_soc,10
stf_0263,鄭冠宇,sec_intl,15
stf_0264,陳怡君,sec_env,6
stf_0265,蔡秉修,sec_shop,13
stf_0266,邱郁婷,sec_brand,11
stf_0267,廖志豪,sec_edu,17
stf_0268,劉冠宇,sec_soc,10
stf_0269,許承翰,sec_tech,14
stf_0270,周俊傑,sec_ent,17
stf_0271,吳志豪,sec_tech,8
stf_0272,劉淑芬,sec_pol,1
stf_0273,黃郁婷,sec_pod,12
stf_0274,鄭淑芬,sec_deep,12
stf_0275,李建宏,sec_brand,3
stf_0276,黃佩君,sec_short,18
stf_0277,鄭怡君,sec_shop,16
stf_0278,王承翰,sec_fin,13
stf_0279,林柏瑋,sec_deep,16
stf_0280,陳雅婷,sec_life,13
stf_0281,李曉雯,sec_short,1
stf_0282,洪承翰,sec_opin,14
stf_0283,廖俊傑,sec_fin,3
stf_0284,吳俊傑,sec_tech,4
stf_0285,劉曉雯,sec_tech,5
stf_0286,楊曉雯,sec_ent,9
stf_0287,黃美玲,sec_intl,7
stf_0288,邱冠宇,sec_pol,4
stf_0289,林家豪,sec_ent,9
stf_0290,張映彤,sec_env,5
stf_0291,張詩涵,sec_tech,13
stf_0292,廖佩君,sec_pol,8
stf_0293,蔡承翰,sec_event,12
stf_0294,邱宗翰,sec_pol,18
stf_0295,蔡郁婷,sec_opin,9
stf_0296,賴郁婷,sec_fin,10
stf_0297,周秉修,sec_life,9
stf_0298,陳映彤,sec_fin,6
stf_0299,吳柏瑋,sec_brand,12
stf_0300,賴佩君,sec_sport,9
stf_0301,黃承翰,sec_life,10
stf_0302,吳彥廷,sec_tech,5
stf_0303,陳心怡,sec_brand,5
stf_0304,許怡君,sec_deep,14
stf_0305,郭家豪,sec_event,17
stf_0306,洪彥廷,sec_edu,15
stf_0307,蔡俊傑,sec_tech,7
stf_0308,廖雅婷,sec_short,16
stf_0309,林曉雯,sec_brand,13
stf_0310,廖心怡,sec_opin,12
stf_0311,楊心怡,sec_vid,1
stf_0312,吳秉修,sec_deep,14
stf_0313,洪郁婷,sec_pol,14
stf_0314,曾秉修,sec_intl,7
stf_0315,黃冠宇,sec_event,2
stf_0316,洪曉雯,sec_tech,1
stf_0317,楊家豪,sec_env,8
stf_0318,劉雅婷,sec_short,10
stf_0319,謝淑芬,sec_shop,11
stf_0320,洪淑芬,sec_event,8
stf_0321,洪映彤,sec_vid,10
stf_0322,李秉修,sec_ent,1
stf_0323,陳俊傑,sec_short,8
stf_0324,蔡郁婷,sec_shop,2
stf_0325,黃建宏,sec_life,5
stf_0326,吳秉修,sec_pod,10
stf_0327,洪彥廷,sec_edu,10
stf_0328,賴詩涵,sec_life,4
stf_0329,賴淑芬,sec_brand,3
stf_0330,張映彤,sec_sport,6
stf_0331,謝郁婷,sec_opin,5
stf_0332,郭心怡,sec_deep,10
stf_0333,林曉雯,sec_shop,11
stf_0334,黃秉修,sec_fin,18
stf_0335,邱郁婷,sec_opin,15
stf_0336,廖俊傑,sec_life,2
stf_0337,吳詩涵,sec_shop,9
stf_0338,謝秉修,sec_edu,16
stf_0339,林建宏,sec_fin,6
stf_0340,王彥廷,sec_intl,4
stf_0341,洪美玲,sec_life,14
stf_0342,許雅婷,sec_short,17
stf_0343,鄭心怡,sec_deep,4
stf_0344,楊映彤,sec_pod,8
stf_0345,廖映彤,sec_soc,8
stf_0346,林家豪,sec_brand,6
stf_0347,陳志豪,sec_shop,7
stf_0348,蔡佩君,sec_life,4
stf_0349,林詩涵,sec_tech,10
stf_0350,郭家豪,sec_edu,1
stf_0351,廖美玲,sec_shop,6
stf_0352,林曉雯,sec_ent,8
stf_0353,周詩涵,sec_pol,12
stf_0354,蔡曉雯,sec_tech,6
stf_0355,劉宗翰,sec_soc,3
stf_0356,周怡君,sec_soc,12
stf_0357,林詩涵,sec_pod,12
stf_0358,曾雅婷,sec_fin,3
stf_0359,王彥廷,sec_ent,1
stf_0360,張詩涵,sec_soc,17
stf_0361,蔡佩君,sec_life,3
stf_0362,邱淑芬,sec_ent,2
stf_0363,蔡宗翰,sec_pod,17
stf_0364,王心怡,sec_short,8
stf_0365,劉佩君,sec_brand,18
stf_0366,吳俊傑,sec_env,14
stf_0367,賴曉雯,sec_soc,2
stf_0368,蔡秉修,sec_env,9
stf_0369,賴美玲,sec_life,17
stf_0370,廖秉修,sec_shop,12
stf_0371,楊承翰,sec_soc,10
stf_0372,周俊傑,sec_short,12
stf_0373,周淑芬,sec_shop,6
stf_0374,賴郁婷,sec_pol,12
stf_0375,周承翰,sec_brand,13
stf_0376,黃郁婷,sec_short,4
stf_0377,劉承翰,sec_soc,9
stf_0378,蔡家豪,sec_opin,2
stf_0379,謝淑芬,sec_vid,18
stf_0380,張映彤,sec_deep,4
stf_0381,鄭美玲,sec_pod,6
stf_0382,王冠宇,sec_opin,18
stf_0383,許宗翰,sec_fin,11
stf_0384,劉冠宇,sec_env,9
stf_0385,洪柏瑋,sec_event,5
stf_0386,林承翰,sec_opin,9
stf_0387,張秉修,sec_life,11
stf_0388,吳郁婷,sec_tech,5
stf_0389,林柏瑋,sec_tech,1
stf_0390,周曉雯,sec_life,10
stf_0391,周承翰,sec_event,12
stf_0392,許柏瑋,sec_env,12
stf_0393,劉心怡,sec_pol,5
stf_0394,鄭承翰,sec_opin,14
stf_0395,張映彤,sec_env,18
stf_0396,廖郁婷,sec_vid,16
stf_0397,廖建宏,sec_life,3
stf_0398,楊詩涵,sec_sport,10
stf_0399,許彥廷,sec_tech,12
stf_0400,吳淑芬,sec_soc,4
stf_0401,許映彤,sec_pod,2
stf_0402,賴曉雯,sec_short,3
stf_0403,楊郁婷,sec_intl,8
stf_0404,陳家豪,sec_pol,5
stf_0405,吳俊傑,sec_soc,17
stf_0406,楊秉修,sec_fin,8
stf_0407,劉雅婷,sec_deep,16
stf_0408,陳承翰,sec_vid,4
stf_0409,李佩君,sec_env,15
stf_0410,周心怡,sec_fin,18
stf_0411,李承翰,sec_env,18
stf_0412,邱秉修,sec_ent,8
stf_0413,曾建宏,sec_short,16
stf_0414,林俊傑,sec_sport,13
stf_0415,蔡俊傑,sec_ent,3
stf_0416,謝佩君,sec_event,5
stf_0417,許彥廷,sec_tech,13
stf_0418,林美玲,sec_opin,15
stf_0419,蔡曉雯,sec_life,2
stf_0420,吳柏瑋,sec_pol,11
stf_0421,吳郁婷,sec_shop,5
stf_0422,周雅婷,sec_tech,15
stf_0423,王雅婷,sec_vid,7
stf_0424,黃映彤,sec_short,7
stf_0425,蔡志豪,sec_opin,16
stf_0426,陳宗翰,sec_pod,14
stf_0427,蔡冠宇,sec_vid,14
stf_0428,郭宗翰,sec_tech,6
stf_0429,李郁婷,sec_brand,2
stf_0430,洪心怡,sec_tech,1
stf_0431,鄭淑芬,sec_deep,11
stf_0432,賴映彤,sec_opin,13
stf_0433,郭映彤,sec_vid,6
stf_0434,賴家豪,sec_life,3
stf_0435,楊郁婷,sec_life,9
stf_0436,曾映彤,sec_event,4
stf_0437,張承翰,sec_deep,7
stf_0438,黃宗翰,sec_tech,5
stf_0439,廖家豪,sec_sport,16
stf_0440,楊彥廷,sec_env,16
stf_0441,曾詩涵,sec_soc,8
stf_0442,張詩涵,sec_deep,4
stf_0443,張家豪,sec_deep,7
stf_0444,賴承翰,sec_pod,15
stf_0445,劉彥廷,sec_tech,4
stf_0446,王宗翰,sec_deep,4
stf_0447,廖秉修,sec_edu,6
stf_0448,劉美玲,sec_soc,12
stf_0449,陳雅婷,sec_intl,15
stf_0450,鄭映彤,sec_tech,16
stf_0451,許志豪,sec_soc,16
stf_0452,鄭承翰,sec_tech,16
stf_0453,鄭心怡,sec_shop,9
stf_0454,周心怡,sec_pod,7
stf_0455,謝郁婷,sec_event,5
stf_0456,陳冠宇,sec_event,2
stf_0457,黃佩君,sec_short,10
stf_0458,許詩涵,sec_shop,15
stf_0459,楊秉修,sec_ent,1
stf_0460,賴建宏,sec_edu,7
stf_0461,王佩君,sec_soc,12
stf_0462,劉俊傑,sec_shop,12
stf_0463,楊心怡,sec_pol,7
stf_0464,許俊傑,sec_fin,18
stf_0465,謝建宏,sec_opin,17
stf_0466,周建宏,sec_pod,9
stf_0467,楊曉雯,sec_pol,3
stf_0468,吳秉修,sec_event,4
stf_0469,林宗翰,sec_short,5
stf_0470,洪佩君,sec_pol,15
stf_0471,陳佩君,sec_short,13
stf_0472,賴承翰,sec_fin,15
stf_0473,張建宏,sec_event,15
stf_0474,賴心怡,sec_opin,2
stf_0475,曾怡君,sec_soc,4
stf_0476,李淑芬,sec_short,6
stf_0477,張承翰,sec_intl,9
stf_0478,許雅婷,sec_vid,17
stf_0479,李淑芬,sec_edu,1
stf_0480,曾冠宇,sec_sport,5
